Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,,,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,,,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,,,length,Horizontal length,line_style
#7F603F,#FFFFFF,#FFDF7F,#1F3F3F,#FFFFFF,#FFE27F,,,#3F527F,#7DBF5F,#FFFFFF
,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,,,dimension,dimension,dimensionless
378,Er,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Er,#ff5500,,,26.660380,23.968868,1
379,Er,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Er,#ff5500,,,3242.883317,3195.152534,1
380,Pr,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,,,5366.006018,4523.355434,1
382,Pr,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,,,59.984953,56.076804,1
383,Pr,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,,,3544.085896,3502.042932,1
384,Di,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Di,#528433,,,9961.902638,8949.449524,1
386,So,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,So,#00007f,,,5413.952921,4408.090074,1
388,So,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,So,#00007f,,,4281.558178,4188.803924,1
389,Gi5,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,,,3938.482605,3359.761768,1
391,Gi5,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,,,6191.776460,5681.937918,1
392,Gi5,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,,,1575.964284,1575.703132,1
393,Fi,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,,,3616.382324,3216.823833,1
395,Fi,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,,,6235.935064,5789.817148,1
396,Kr2,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Kr2,#5ac94e,,,1180.089053,1133.753920,1
398,Kr2,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Kr2,#5ac94e,,,634.776449,580.801699,1
399,Kr2,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Kr2,#5ac94e,,,791.682274,718.308511,1
400,Fi,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,,,470.880300,467.050556,1
401,Fi,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,,,148.020761,138.254528,1
404,Mg,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,,,6474.872212,5929.269911,2
405,Mg,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,,,799.687128,701.065737,2
406,Sb,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,,,4834.776040,4562.621736,2
408,Sb,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,,,661.631025,654.854909,1
409,Sb,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,,,80.330271,78.089342,1
410,Sb,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,,,446.245827,423.534239,2
411,Sb,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,,,145.450304,145.289820,1
412,Sb,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,,,454.557257,153.681979,2
413,Sb,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,,,300.006937,243.212372,1
