Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#3D3F1F,#3F627F,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#7F713F,#5FAEBF,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
3076,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,3597.877776,3351.724793,2
3077,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,4787.382763,4590.365046,2
3078,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,573.330982,509.372125,2
3079,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,312.229827,210.080206,2
3080,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,483.908592,435.674415,4
3081,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,905.320703,826.798918,4
3082,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,526.190399,402.102707,4
3083,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,1129.170713,889.991590,1
3084,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,196.848487,124.774682,1
3085,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,2873.867756,1939.476798,1
3086,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,545.836678,328.607844,1
3087,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,590.572462,422.001652,1
3088,Pr,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,1930.978785,1718.269092,1
