Unnamed: 0,x,y,z,Name,Id,Vertex Index,PType,uncertaintyclasses
54121,2300.0,1313.4152,-405.5745,Horizon_04,319,3848,0,2.0
67458,2296.4286,1500.0,-435.4349,Horizon_05,320,28,0,2.0
67459,2300.0,1500.0,-435.4349,Horizon_05,320,29,0,2.0
67460,2303.5714,1500.0,-435.4349,Horizon_05,320,30,0,2.0
67515,2296.4286,1497.012,-437.2775,Horizon_05,320,85,0,2.0
67516,2300.0,1497.012,-437.2775,Horizon_05,320,86,0,2.0
67517,2303.5714,1497.012,-437.2775,Horizon_05,320,87,0,2.0
67572,2296.4286,1494.0239,-439.1202,Horizon_05,320,142,0,2.0
67573,2300.0,1494.0239,-439.1202,Horizon_05,320,143,0,2.0
67574,2303.5714,1494.0239,-439.1202,Horizon_05,320,144,0,2.0
68427,2296.4286,1448.2642,-465.1269,Horizon_05,320,997,0,2.0
68428,2300.0,1448.2642,-465.1269,Horizon_05,320,998,0,2.0
68429,2303.5714,1448.2642,-465.1269,Horizon_05,320,999,0,2.0
68484,2296.4286,1445.164,-466.7739,Horizon_05,320,1054,0,2.0
68485,2300.0,1445.164,-466.7739,Horizon_05,320,1055,0,2.0
68486,2303.5714,1445.164,-466.7739,Horizon_05,320,1056,0,2.0
68541,2296.4286,1442.0638,-468.4208,Horizon_05,320,1111,0,2.0
68542,2300.0,1442.0638,-468.4208,Horizon_05,320,1112,0,2.0
68543,2303.5714,1442.0638,-468.4208,Horizon_05,320,1113,0,2.0
68598,2296.4286,1438.9636,-470.0677,Horizon_05,320,1168,0,2.0
68599,2300.0,1438.9636,-470.0677,Horizon_05,320,1169,0,2.0
68600,2303.5714,1438.9636,-470.0677,Horizon_05,320,1170,0,2.0
68655,2296.4286,1435.8541,-471.697,Horizon_05,320,1225,0,2.0
68656,2300.0,1435.8541,-471.697,Horizon_05,320,1226,0,2.0
68657,2303.5714,1435.8541,-471.697,Horizon_05,320,1227,0,2.0
68712,2296.4286,1432.6996,-473.2373,Horizon_05,320,1282,0,2.0
68713,2300.0,1432.6996,-473.2373,Horizon_05,320,1283,0,2.0
68714,2303.5714,1432.6996,-473.2373,Horizon_05,320,1284,0,2.0
68770,2300.0,1429.4929,-474.6658,Horizon_05,320,1340,0,2.0
68940,2296.4286,1419.7532,-478.6718,Horizon_05,320,1510,0,2.0
68941,2300.0,1419.7532,-478.6718,Horizon_05,320,1511,0,2.0
68942,2303.5714,1419.7532,-478.6718,Horizon_05,320,1512,0,2.0
68997,2296.4286,1416.5035,-479.9996,Horizon_05,320,1567,0,2.0
68998,2300.0,1416.5035,-479.9996,Horizon_05,320,1568,0,2.0
68999,2303.5714,1416.5035,-479.9996,Horizon_05,320,1569,0,2.0
69054,2296.4286,1413.2538,-481.3275,Horizon_05,320,1624,0,2.0
69055,2300.0,1413.2538,-481.3275,Horizon_05,320,1625,0,2.0
69056,2303.5714,1413.2538,-481.3275,Horizon_05,320,1626,0,2.0
69111,2296.4286,1410.0041,-482.6553,Horizon_05,320,1681,0,2.0
69112,2300.0,1410.0041,-482.6553,Horizon_05,320,1682,0,2.0
69113,2303.5714,1410.0041,-482.6553,Horizon_05,320,1683,0,2.0
69168,2296.4286,1406.7545,-483.9831,Horizon_05,320,1738,0,2.0
69169,2300.0,1406.7545,-483.9831,Horizon_05,320,1739,0,2.0
69170,2303.5714,1406.7545,-483.9831,Horizon_05,320,1740,0,2.0
69225,2296.4286,1403.5048,-485.311,Horizon_05,320,1795,0,2.0
69226,2300.0,1403.5048,-485.311,Horizon_05,320,1796,0,2.0
