x,y,z,Name
654.4483,2.5712,-236.8791,Tunnel_Well
654.4797,3.0642,-237.3711,Tunnel_Well
654.516,3.4641,-237.9411,Tunnel_Well
654.5562,3.7588,-238.5717,Tunnel_Well
654.599,3.9392,-239.2439,Tunnel_Well
759.0023,4,-233.2867,Tunnel_Well
759.0465,3.9392,-233.9799,Tunnel_Well
759.0893,3.7588,-234.652,Tunnel_Well
759.1295,3.4641,-235.2827,Tunnel_Well
759.1658,3.0642,-235.8527,Tunnel_Well
759.1972,2.5712,-236.3447,Tunnel_Well
759.2226,2,-236.7438,Tunnel_Well
759.2413,1.3681,-237.0379,Tunnel_Well
759.2528,0.6946,-237.218,Tunnel_Well
759.2567,0,-237.2786,Tunnel_Well
759.2528,-0.6946,-237.218,Tunnel_Well
759.2413,-1.3681,-237.0379,Tunnel_Well
759.2226,-2,-236.7438,Tunnel_Well
759.1972,-2.5712,-236.3447,Tunnel_Well
759.1658,-3.0642,-235.8527,Tunnel_Well
759.1295,-3.4641,-235.2827,Tunnel_Well
759.0893,-3.7588,-234.652,Tunnel_Well
759.0465,-3.9392,-233.9799,Tunnel_Well
759.0023,-4,-233.2867,Tunnel_Well
758.9581,-3.9392,-232.5935,Tunnel_Well
758.9153,-3.7588,-231.9214,Tunnel_Well
758.8751,-3.4641,-231.2908,Tunnel_Well
758.8388,-3.0642,-230.7208,Tunnel_Well
758.8074,-2.5712,-230.2287,Tunnel_Well
758.782,-2,-229.8296,Tunnel_Well
758.7633,-1.3681,-229.5355,Tunnel_Well
758.7518,-0.6946,-229.3555,Tunnel_Well
758.7479,0,-229.2948,Tunnel_Well
758.7518,0.6946,-229.3555,Tunnel_Well
758.7633,1.3681,-229.5355,Tunnel_Well
758.782,2,-229.8296,Tunnel_Well
758.8074,2.5712,-230.2287,Tunnel_Well
758.8388,3.0642,-230.7208,Tunnel_Well
758.8751,3.4641,-231.2908,Tunnel_Well
758.9153,3.7588,-231.9214,Tunnel_Well
758.9581,3.9392,-232.5935,Tunnel_Well
863.3614,4,-226.6364,Tunnel_Well
863.4056,3.9392,-227.3296,Tunnel_Well
863.4484,3.7588,-228.0017,Tunnel_Well
863.4886,3.4641,-228.6323,Tunnel_Well
863.5249,3.0642,-229.2023,Tunnel_Well
863.5563,2.5712,-229.6944,Tunnel_Well
863.5817,2,-230.0935,Tunnel_Well
863.6005,1.3681,-230.3875,Tunnel_Well
863.6119,0.6946,-230.5676,Tunnel_Well
863.6158,0,-230.6283,Tunnel_Well
863.6119,-0.6946,-230.5676,Tunnel_Well
863.6005,-1.3681,-230.3875,Tunnel_Well
863.5817,-2,-230.0935,Tunnel_Well
863.5563,-2.5712,-229.6944,Tunnel_Well
863.5249,-3.0642,-229.2023,Tunnel_Well
863.4886,-3.4641,-228.6323,Tunnel_Well
863.4484,-3.7588,-228.0017,Tunnel_Well
863.4056,-3.9392,-227.3296,Tunnel_Well
863.3614,-4,-226.6364,Tunnel_Well
863.3172,-3.9392,-225.9432,Tunnel_Well
863.2744,-3.7588,-225.2711,Tunnel_Well
863.2342,-3.4641,-224.6404,Tunnel_Well
863.1979,-3.0642,-224.0704,Tunnel_Well
863.1665,-2.5712,-223.5784,Tunnel_Well
863.1411,-2,-223.1793,Tunnel_Well
863.1224,-1.3681,-222.8852,Tunnel_Well
863.1109,-0.6946,-222.7051,Tunnel_Well
863.107,0,-222.6445,Tunnel_Well
863.1109,0.6946,-222.7051,Tunnel_Well
863.1224,1.3681,-222.8852,Tunnel_Well
863.1411,2,-223.1793,Tunnel_Well
863.1665,2.5712,-223.5784,Tunnel_Well
863.1979,3.0642,-224.0704,Tunnel_Well
863.2342,3.4641,-224.6404,Tunnel_Well
863.2744,3.7588,-225.2711,Tunnel_Well
863.3172,3.9392,-225.9432,Tunnel_Well
967.7205,4,-219.986,Tunnel_Well
967.7647,3.9392,-220.6792,Tunnel_Well
967.8075,3.7588,-221.3514,Tunnel_Well
967.8477,3.4641,-221.982,Tunnel_Well
967.884,3.0642,-222.552,Tunnel_Well
967.9154,2.5712,-223.044,Tunnel_Well
967.9408,2,-223.4431,Tunnel_Well
967.9596,1.3681,-223.7372,Tunnel_Well
967.9711,0.6946,-223.9173,Tunnel_Well
967.9749,0,-223.9779,Tunnel_Well
967.9711,-0.6946,-223.9173,Tunnel_Well
967.9596,-1.3681,-223.7372,Tunnel_Well
967.9408,-2,-223.4431,Tunnel_Well
967.9154,-2.5712,-223.044,Tunnel_Well
967.884,-3.0642,-222.552,Tunnel_Well
967.8477,-3.4641,-221.982,Tunnel_Well
967.8075,-3.7588,-221.3514,Tunnel_Well
967.7647,-3.9392,-220.6792,Tunnel_Well
967.7205,-4,-219.986,Tunnel_Well
967.6764,-3.9392,-219.2929,Tunnel_Well
967.6335,-3.7588,-218.6207,Tunnel_Well
967.5933,-3.4641,-217.9901,Tunnel_Well
967.557,-3.0642,-217.4201,Tunnel_Well
967.5257,-2.5712,-216.9281,Tunnel_Well
967.5002,-2,-216.529,Tunnel_Well
967.4815,-1.3681,-216.2349,Tunnel_Well
967.47,-0.6946,-216.0548,Tunnel_Well
967.4661,0,-215.9941,Tunnel_Well
967.47,0.6946,-216.0548,Tunnel_Well
967.4815,1.3681,-216.2349,Tunnel_Well
967.5002,2,-216.529,Tunnel_Well
967.5257,2.5712,-216.9281,Tunnel_Well
967.557,3.0642,-217.4201,Tunnel_Well
967.5933,3.4641,-217.9901,Tunnel_Well
967.6335,3.7588,-218.6207,Tunnel_Well
967.6764,3.9392,-219.2929,Tunnel_Well
