Unnamed: 0,x,y,z,Name,Id,Vertex Index,PType,Answers
9087,685.7143,3695.6854,260.5468,Horizon_01,298,9088,0,1.0
9088,689.2857,3695.6854,260.5468,Horizon_01,298,9089,0,1.0
9089,692.8571,3695.6854,260.5468,Horizon_01,298,9090,0,1.0
9090,696.4286,3695.6854,260.5468,Horizon_01,298,9091,0,1.0
9091,700.0,3695.6854,260.5468,Horizon_01,298,9092,0,1.0
9092,703.5714,3695.6854,260.5468,Horizon_01,298,9093,0,1.0
9093,707.1429,3695.6854,260.5468,Horizon_01,298,9094,0,1.0
9094,710.7143,3695.6854,260.5468,Horizon_01,298,9095,0,1.0
9095,714.2857,3695.6854,260.5468,Horizon_01,298,9096,0,1.0
9096,717.8571,3695.6854,260.5468,Horizon_01,298,9097,0,1.0
9097,721.4286,3695.6854,260.5468,Horizon_01,298,9098,0,1.0
9098,725.0,3695.6854,260.5468,Horizon_01,298,9099,0,1.0
9099,728.5714,3695.6854,260.5468,Horizon_01,298,9100,0,1.0
9100,732.1429,3695.6854,260.5468,Horizon_01,298,9101,0,1.0
9101,735.7143,3695.6854,260.5468,Horizon_01,298,9102,0,1.0
9102,739.2857,3695.6854,260.5468,Horizon_01,298,9103,0,1.0
9103,742.8571,3695.6854,260.5468,Horizon_01,298,9104,0,1.0
9104,746.4286,3695.6854,260.5468,Horizon_01,298,9105,0,1.0
9105,750.0,3695.6854,260.5468,Horizon_01,298,9106,0,1.0
9106,753.5714,3695.6854,260.5468,Horizon_01,298,9107,0,1.0
9107,757.1429,3695.6854,260.5468,Horizon_01,298,9108,0,1.0
9108,760.7143,3695.6854,260.5468,Horizon_01,298,9109,0,1.0
9109,764.2857,3695.6854,260.5468,Horizon_01,298,9110,0,1.0
9110,767.8571,3695.6854,260.5468,Horizon_01,298,9111,0,1.0
9111,771.4286,3695.6854,260.5468,Horizon_01,298,9112,0,1.0
9112,775.0,3695.6854,260.5468,Horizon_01,298,9113,0,1.0
9113,778.5714,3695.6854,260.5468,Horizon_01,298,9114,0,1.0
